Date,Value,anomaly_kmeans,rolling_mean,rolling_std,z_score,anomaly_if,anomaly_svm,anomaly_lof,diff,cumsum,cumprod,common_anomaly,anomaly_count
2021-07-30,671.760009765625,0,656.5839965820312,10.562889954109846,1.436729271016315,1,1,1,21.97003173828125,182251.12816619873,inf,False,0
2021-08-02,700.0,0,666.3900024414063,21.324527476477048,1.5761192174442638,1,1,1,28.239990234375,182951.12816619873,inf,False,0
2021-08-03,719.0,0,677.5099975585938,31.46244708322911,1.3187150488215593,1,1,1,19.0,183670.12816619873,inf,False,0
2021-08-04,711.0,0,690.3099975585938,28.857679300144554,0.7169669544876608,1,1,1,-8.0,184381.12816619873,inf,False,0
2021-08-05,716.0,0,703.552001953125,19.18602003453699,0.6488056420491173,1,1,1,5.0,185097.12816619873,inf,False,0
2021-08-06,711.9000244140625,0,711.5800048828125,7.2306295650088375,0.044258875160556425,1,1,1,-4.0999755859375,185809.0281906128,inf,False,0
2021-08-09,710.1699829101562,0,713.6140014648438,3.752797424067716,-0.9177203471202875,1,1,1,-1.73004150390625,186519.19817352295,inf,False,0
2021-08-10,713.989990234375,0,712.6119995117188,2.3688764102488666,0.5817064650120276,1,1,1,3.82000732421875,187233.18816375732,inf,False,0
2021-08-11,712.7100219726562,0,712.95400390625,2.1950246431308895,-0.1111522525987532,1,1,1,-1.27996826171875,187945.89818572998,inf,False,0
2021-08-12,706.3400268554688,0,711.0220092773437,2.961254663580764,-1.5810806410730986,1,1,1,-6.3699951171875,188652.23821258545,inf,False,0
2021-08-13,723.7100219726562,0,713.3840087890625,6.46907381005236,1.596211990586361,1,1,1,17.3699951171875,189375.9482345581,inf,False,0
2021-08-16,705.0700073242188,0,712.364013671875,7.432805184641508,-0.9813261839188171,1,1,1,-18.6400146484375,190081.01824188232,inf,False,0
2021-08-17,672.6599731445312,0,704.0980102539063,19.059901255890185,-1.6494333673244805,1,1,1,-32.4100341796875,190753.67821502686,inf,False,0
2021-08-18,669.75,0,695.506005859375,23.396718298286398,-1.1008383966934978,1,1,1,-2.90997314453125,191423.42821502686,inf,False,0
2021-08-19,678.2100219726562,0,689.8800048828125,23.5220179897575,-0.4961301753632644,1,1,1,8.46002197265625,192101.6382369995,inf,False,0
2021-08-20,682.8499755859375,0,681.7079956054688,14.001641856517587,0.08156043356709108,1,1,1,4.63995361328125,192784.48821258545,inf,False,0
2021-08-23,685.4400024414062,0,677.7819946289062,6.619304416805555,1.1569203242953077,1,1,1,2.59002685546875,193469.92821502686,inf,False,0
2021-08-24,710.6799926757812,0,685.3859985351562,15.347634656713666,1.6480711657780078,1,1,1,25.239990234375,194180.60820770264,inf,False,0
2021-08-25,707.030029296875,0,692.8420043945313,14.901502095187265,0.9521204514628113,1,1,1,-3.64996337890625,194887.6382369995,inf,False,0
2021-08-26,708.3099975585938,0,698.8619995117188,13.52942400516463,0.6983296586217111,1,1,1,1.27996826171875,195595.9482345581,inf,False,0
2021-08-27,705.0,0,703.2920043945312,10.190027957907384,0.16761441799022778,1,1,1,-3.30999755859375,196300.9482345581,inf,False,0
2021-08-30,714.719970703125,0,709.147998046875,3.7345619243179273,1.4920016776178127,1,1,1,9.719970703125,197015.66820526123,inf,False,0
2021-08-31,733.0,0,713.6119995117188,11.431559990925413,1.6960065383615017,1,1,1,18.280029296875,197748.66820526123,inf,False,0
2021-09-01,734.0800170898438,0,719.0219970703125,13.711302810582024,1.0982194928923779,1,1,1,1.08001708984375,198482.74822235107,inf,False,0
2021-09-02,734.5,0,724.2599975585938,13.59814044851424,0.7530443210361935,1,1,1,0.41998291015625,199217.24822235107,inf,False,0
2021-09-03,732.25,0,729.7099975585937,8.426414238671095,0.3014333700507523,1,1,1,-2.25,199949.49822235107,inf,False,0
2021-09-07,740.0,0,734.7660034179687,3.057167666035717,1.7120410634259753,1,1,1,7.75,200689.49822235107,inf,False,0
2021-09-08,761.5800170898438,0,740.4820068359375,12.143868641263875,1.737338477313315,1,1,1,21.58001708984375,201451.07823944092,inf,False,0
2021-09-09,753.4099731445312,0,744.347998046875,12.662065217184209,0.7156790730597323,1,1,1,-8.1700439453125,202204.48821258545,inf,False,0
2021-09-10,759.5999755859375,0,749.3679931640625,12.756856790514533,0.8020770782253448,1,1,1,6.19000244140625,202964.0881881714,inf,False,0
2021-09-13,740.2100219726562,0,750.9599975585937,10.357605142013886,-1.037882352005485,1,1,1,-19.38995361328125,203704.29821014404,inf,False,0
2021-09-14,742.5700073242188,0,751.4739990234375,9.72200261302564,-0.9158598339902819,1,1,1,2.3599853515625,204446.86821746826,inf,False,0
2021-09-15,745.0,0,748.1579956054687,8.106648630718917,-0.38955624566013397,1,1,1,2.42999267578125,205191.86821746826,inf,False,0
2021-09-16,752.8300170898438,0,748.0420043945312,8.016362251082446,0.597279981286527,1,1,1,7.83001708984375,205944.6982345581,inf,False,0
2021-09-17,757.1500244140625,0,747.5520141601562,7.162700842353555,1.3399987609635438,1,1,1,4.32000732421875,206701.84825897217,inf,False,0
2021-09-20,734.5599975585938,0,746.4220092773437,8.856074530319193,-1.339420945266415,1,1,1,-22.59002685546875,207436.40825653076,inf,False,0
2021-09-21,734.7899780273438,0,744.8660034179687,10.272301167804663,-0.9808927158605073,1,1,1,0.22998046875,208171.1982345581,inf,False,0
2021-09-22,743.530029296875,0,744.5720092773438,10.288529949936377,-0.10127588543154689,1,1,1,8.74005126953125,208914.72826385498,inf,False,0
2021-09-23,755.0,0,745.006005859375,10.758972144649452,0.9288985979571566,1,1,1,11.469970703125,209669.72826385498,inf,False,0
2021-09-24,745.8900146484375,0,742.75400390625,8.528901560803758,0.36769221919498707,1,1,1,-9.1099853515625,210415.61827850342,inf,False,0
